rup_id	involved_faults
0	0 
1	1 
2	2 
3	3 
4	4 
5	5 
6	6 
7	7 
8	8 
9	9 
10	10 
11	11 
12	12 
13	13 
14	14 
15	15 
16	16 
17	17 
18	18 
19	19 
20	20 
21	21 
22	22 
23	23 
24	24 
25	25 
26	26 
27	27 
28	28 
29	29 
30	30 
31	31 
32	32 
33	33 
34	34 
35	35 
36	36 
37	37 
38	38 
39	39 
40	40 
41	41 
42	42 
43	43 
44	44 
45	45 
46	46 
47	47 
48	48 
49	49 
50	50 
51	51 
52	52 
53	53 
54	54 
55	55 
56	56 
57	57 
58	58 
59	59 
60	60 
61	61 
62	62 
63	63 
64	64 
65	65 
66	66 
67	67 
68	68 
69	69 
70	70 
71	71 
72	72 
73	73 
74	74 
75	75 
76	76 
77	77 
78	78 
79	79 
80	80 
81	81 
82	82 
83	83 
84	84 
85	0 1 
86	0 6 
87	0 29 
88	1 2 
89	1 6 
90	1 7 
91	1 29 
92	2 7 
93	2 11 
94	2 12 
95	3 4 
96	4 5 
97	5 6 
98	6 7 
99	6 57 
100	6 58 
101	7 8 
102	7 57 
103	7 58 
104	8 9 
105	10 23 
106	10 56 
107	11 12 
108	12 13 
109	14 15 
110	15 16 
111	16 33 
112	17 18 
113	17 24 
114	17 25 
115	17 80 
116	18 19 
117	18 25 
118	18 26 
119	19 25 
120	19 26 
121	19 63 
122	20 21 
123	20 66 
124	21 22 
125	23 24 
126	23 38 
127	24 25 
128	24 38 
129	25 26 
130	26 45 
131	26 63 
132	27 28 
133	27 55 
134	28 29 
135	30 31 
136	31 32 
137	33 34 
138	34 35 
139	34 70 
140	35 36 
141	35 70 
142	36 37 
143	38 51 
144	38 80 
145	39 40 
146	39 76 
147	40 41 
148	41 48 
149	42 43 
150	42 59 
151	43 44 
152	45 46 
153	46 47 
154	49 50 
155	49 73 
156	49 83 
157	50 51 
158	50 83 
159	51 80 
160	52 53 
161	53 54 
162	54 55 
163	57 58 
164	58 59 
165	60 61 
166	61 62 
167	62 81 
168	63 84 
169	64 65 
170	65 66 
171	67 68 
172	68 69 
173	69 70 
174	71 72 
175	72 73 
176	74 75 
177	75 76 
178	77 78 
179	78 79 
180	81 82 
181	82 83 
182	0 1 2 
183	0 1 6 
184	0 1 7 
185	0 1 29 
186	0 5 6 
187	0 6 7 
188	0 6 29 
189	0 6 57 
190	0 6 58 
191	0 28 29 
192	1 2 6 
193	1 2 7 
194	1 2 11 
195	1 2 12 
196	1 2 29 
197	1 5 6 
198	1 6 7 
199	1 6 29 
200	1 6 57 
201	1 6 58 
202	1 7 8 
203	1 7 29 
204	1 7 57 
205	1 7 58 
206	1 28 29 
207	2 6 7 
208	2 7 8 
209	2 7 11 
210	2 7 12 
211	2 7 57 
212	2 7 58 
213	2 11 12 
214	2 12 13 
215	3 4 5 
216	4 5 6 
217	5 6 7 
218	5 6 57 
219	5 6 58 
220	6 7 8 
221	6 7 57 
222	6 7 58 
223	6 57 58 
224	6 58 59 
225	7 8 9 
226	7 8 57 
227	7 8 58 
228	7 57 58 
229	7 58 59 
230	10 23 24 
231	10 23 38 
232	10 23 56 
233	11 12 13 
234	14 15 16 
235	15 16 33 
236	16 33 34 
237	17 18 19 
238	17 18 24 
239	17 18 25 
240	17 18 26 
241	17 18 80 
242	17 19 25 
243	17 23 24 
244	17 24 25 
245	17 24 38 
246	17 24 80 
247	17 25 26 
248	17 25 80 
249	17 38 80 
250	17 51 80 
251	18 19 25 
252	18 19 26 
253	18 19 63 
254	18 24 25 
255	18 25 26 
256	18 26 45 
257	18 26 63 
258	19 24 25 
259	19 25 26 
260	19 25 63 
261	19 26 45 
262	19 26 63 
263	19 63 84 
264	20 21 22 
265	20 21 66 
266	20 65 66 
267	23 24 25 
268	23 24 38 
269	23 38 51 
270	23 38 80 
271	24 25 26 
272	24 25 38 
273	24 38 51 
274	24 38 80 
275	25 26 45 
276	25 26 63 
277	26 45 46 
278	26 45 63 
279	26 63 84 
280	27 28 29 
281	27 28 55 
282	27 54 55 
283	30 31 32 
284	33 34 35 
285	33 34 70 
286	34 35 36 
287	34 35 70 
288	34 69 70 
289	35 36 37 
290	35 36 70 
291	35 69 70 
292	38 50 51 
293	38 51 80 
294	39 40 41 
295	39 40 76 
296	39 75 76 
297	40 41 48 
298	42 43 44 
299	42 43 59 
300	42 58 59 
301	45 46 47 
302	49 50 51 
303	49 50 73 
304	49 50 83 
305	49 72 73 
306	49 73 83 
307	49 82 83 
308	50 51 80 
309	50 51 83 
310	50 82 83 
311	52 53 54 
312	53 54 55 
313	57 58 59 
314	60 61 62 
315	61 62 81 
316	62 81 82 
317	64 65 66 
318	67 68 69 
319	68 69 70 
320	71 72 73 
321	74 75 76 
322	77 78 79 
323	81 82 83 
324	0 1 2 6 
325	0 1 2 7 
326	0 1 2 11 
327	0 1 2 12 
328	0 1 2 29 
329	0 1 5 6 
330	0 1 6 7 
331	0 1 6 29 
332	0 1 6 57 
333	0 1 6 58 
334	0 1 7 8 
335	0 1 7 29 
336	0 1 7 57 
337	0 1 7 58 
338	0 1 28 29 
339	0 2 6 7 
340	0 4 5 6 
341	0 5 6 7 
342	0 5 6 29 
343	0 5 6 57 
344	0 5 6 58 
345	0 6 7 8 
346	0 6 7 29 
347	0 6 7 57 
348	0 6 7 58 
349	0 6 28 29 
350	0 6 29 57 
351	0 6 29 58 
352	0 6 57 58 
353	0 6 58 59 
354	0 27 28 29 
355	1 2 5 6 
356	1 2 6 7 
357	1 2 6 11 
358	1 2 6 12 
359	1 2 6 29 
360	1 2 6 57 
361	1 2 6 58 
362	1 2 7 8 
363	1 2 7 11 
364	1 2 7 12 
365	1 2 7 29 
366	1 2 7 57 
367	1 2 7 58 
368	1 2 11 12 
369	1 2 11 29 
370	1 2 12 13 
371	1 2 12 29 
372	1 2 28 29 
373	1 4 5 6 
374	1 5 6 7 
375	1 5 6 29 
376	1 5 6 57 
377	1 5 6 58 
378	1 6 7 8 
379	1 6 7 29 
380	1 6 7 57 
381	1 6 7 58 
382	1 6 28 29 
383	1 6 29 57 
384	1 6 29 58 
385	1 6 57 58 
386	1 6 58 59 
387	1 7 8 9 
388	1 7 8 29 
389	1 7 8 57 
390	1 7 8 58 
391	1 7 28 29 
392	1 7 29 57 
393	1 7 29 58 
394	1 7 57 58 
395	1 7 58 59 
396	1 27 28 29 
397	2 5 6 7 
398	2 6 7 8 
399	2 6 7 11 
400	2 6 7 12 
401	2 6 7 57 
402	2 6 7 58 
403	2 7 8 9 
404	2 7 8 11 
405	2 7 8 12 
406	2 7 8 57 
407	2 7 8 58 
408	2 7 11 12 
409	2 7 11 57 
410	2 7 11 58 
411	2 7 12 13 
412	2 7 12 57 
413	2 7 12 58 
414	2 7 57 58 
415	2 7 58 59 
416	2 11 12 13 
417	3 4 5 6 
418	4 5 6 7 
419	4 5 6 57 
420	4 5 6 58 
421	5 6 7 8 
422	5 6 7 57 
423	5 6 7 58 
424	5 6 57 58 
425	5 6 58 59 
426	6 7 8 9 
427	6 7 8 57 
428	6 7 8 58 
429	6 7 57 58 
430	6 7 58 59 
431	6 42 58 59 
432	6 57 58 59 
433	7 8 9 57 
434	7 8 9 58 
435	7 8 57 58 
436	7 8 58 59 
437	7 42 58 59 
438	7 57 58 59 
439	10 17 23 24 
440	10 23 24 25 
441	10 23 24 38 
442	10 23 24 56 
443	10 23 38 51 
444	10 23 38 56 
445	10 23 38 80 
446	14 15 16 33 
447	15 16 33 34 
448	16 33 34 35 
449	16 33 34 70 
450	17 18 19 24 
451	17 18 19 25 
452	17 18 19 26 
453	17 18 19 63 
454	17 18 19 80 
455	17 18 23 24 
456	17 18 24 25 
457	17 18 24 26 
458	17 18 24 38 
459	17 18 24 80 
460	17 18 25 26 
461	17 18 25 80 
462	17 18 26 45 
463	17 18 26 63 
464	17 18 26 80 
465	17 18 38 80 
466	17 18 51 80 
467	17 19 24 25 
468	17 19 25 26 
469	17 19 25 63 
470	17 19 25 80 
471	17 23 24 25 
472	17 23 24 38 
473	17 23 24 80 
474	17 23 38 80 
475	17 24 25 26 
476	17 24 25 38 
477	17 24 25 80 
478	17 24 38 51 
479	17 24 38 80 
480	17 24 51 80 
481	17 25 26 45 
482	17 25 26 63 
483	17 25 26 80 
484	17 25 38 80 
485	17 25 51 80 
486	17 38 51 80 
487	17 50 51 80 
488	18 19 24 25 
489	18 19 25 26 
490	18 19 25 63 
491	18 19 26 45 
492	18 19 26 63 
493	18 19 63 84 
494	18 23 24 25 
495	18 24 25 26 
496	18 24 25 38 
497	18 25 26 45 
