rup_id	involved_faults
0	0 
1	1 
2	2 
3	3 
4	4 
5	5 
6	6 
7	7 
8	8 
9	9 
10	10 
11	11 
12	12 
13	13 
14	14 
15	15 
16	16 
17	17 
18	18 
19	19 
20	20 
21	21 
22	22 
23	23 
24	24 
25	25 
26	26 
27	27 
28	28 
29	29 
30	30 
31	31 
32	32 
33	33 
34	34 
35	35 
36	36 
37	37 
38	38 
39	39 
40	40 
41	41 
42	42 
43	43 
44	44 
45	45 
46	46 
47	47 
48	48 
49	49 
50	50 
51	51 
52	52 
53	53 
54	54 
55	55 
56	56 
57	57 
58	58 
59	59 
60	60 
61	61 
62	62 
63	63 
64	64 
65	65 
66	66 
67	67 
68	68 
69	69 
70	70 
71	71 
72	72 
73	73 
74	74 
75	75 
76	76 
77	77 
78	78 
79	79 
80	80 
81	81 
82	82 
83	83 
84	84 
85	0 1 
86	0 6 
87	0 29 
88	1 2 
89	1 6 
90	1 7 
91	1 11 
92	1 29 
93	2 7 
94	2 11 
95	2 12 
96	3 4 
97	3 5 
98	4 5 
99	5 6 
100	6 7 
101	6 57 
102	6 58 
103	7 8 
104	7 57 
105	7 58 
106	8 9 
107	9 43 
108	9 44 
109	10 23 
110	10 56 
111	11 12 
112	12 13 
113	14 15 
114	15 16 
115	16 33 
116	17 18 
117	17 24 
118	17 25 
119	17 80 
120	18 19 
121	18 25 
122	18 26 
123	19 25 
124	19 26 
125	19 63 
126	20 21 
127	20 66 
128	21 22 
129	21 48 
130	23 24 
131	23 38 
132	24 25 
133	24 38 
134	24 80 
135	25 26 
136	25 80 
137	26 63 
138	27 28 
139	27 55 
140	28 29 
141	30 31 
142	31 32 
143	33 34 
144	34 35 
145	34 70 
146	35 36 
147	35 70 
148	36 37 
149	38 50 
150	38 51 
151	38 80 
152	39 40 
153	39 76 
154	40 41 
155	40 76 
156	41 48 
157	42 43 
158	42 59 
159	43 44 
160	45 46 
161	46 47 
162	49 50 
163	49 73 
164	49 83 
165	50 51 
166	50 83 
167	51 80 
168	52 53 
169	53 54 
170	54 55 
171	57 58 
172	58 59 
173	60 61 
174	61 62 
175	62 81 
176	63 84 
177	64 65 
178	65 66 
179	67 68 
180	68 69 
181	69 70 
182	71 72 
183	72 73 
184	74 75 
185	75 76 
186	77 78 
187	78 79 
188	81 82 
189	82 83 
190	0 1 2 
191	0 1 6 
192	0 1 7 
193	0 1 11 
194	0 1 29 
195	0 5 6 
196	0 6 7 
197	0 6 29 
198	0 6 57 
199	0 6 58 
200	0 28 29 
201	1 2 6 
202	1 2 7 
203	1 2 11 
204	1 2 12 
205	1 2 29 
206	1 5 6 
207	1 6 7 
208	1 6 11 
209	1 6 29 
210	1 6 57 
211	1 6 58 
212	1 7 8 
213	1 7 11 
214	1 7 29 
215	1 7 57 
216	1 7 58 
217	1 11 12 
218	1 11 29 
219	1 28 29 
220	2 6 7 
221	2 7 8 
222	2 7 11 
223	2 7 12 
224	2 7 57 
225	2 7 58 
226	2 11 12 
227	2 12 13 
228	3 4 5 
229	3 5 6 
230	4 5 6 
231	5 6 7 
232	5 6 57 
233	5 6 58 
234	6 7 8 
235	6 7 57 
236	6 7 58 
237	6 57 58 
238	6 58 59 
239	7 8 9 
240	7 8 57 
241	7 8 58 
242	7 57 58 
243	7 58 59 
244	8 9 43 
245	8 9 44 
246	9 42 43 
247	9 43 44 
248	10 23 24 
249	10 23 38 
250	10 23 56 
251	11 12 13 
252	14 15 16 
253	15 16 33 
254	16 33 34 
255	17 18 19 
256	17 18 24 
257	17 18 25 
258	17 18 26 
259	17 18 80 
260	17 19 25 
261	17 23 24 
262	17 24 25 
263	17 24 38 
264	17 24 80 
265	17 25 26 
266	17 25 80 
267	17 38 80 
268	17 51 80 
269	18 19 25 
270	18 19 26 
271	18 19 63 
272	18 24 25 
273	18 25 26 
274	18 25 80 
275	18 26 63 
276	19 24 25 
277	19 25 26 
278	19 25 63 
279	19 25 80 
280	19 26 63 
281	19 63 84 
282	20 21 22 
283	20 21 48 
284	20 21 66 
285	20 65 66 
286	21 22 48 
287	21 41 48 
288	23 24 25 
289	23 24 38 
290	23 24 80 
291	23 38 50 
292	23 38 51 
293	23 38 80 
294	24 25 26 
295	24 25 38 
296	24 25 80 
297	24 38 50 
298	24 38 51 
299	24 38 80 
300	24 51 80 
301	25 26 63 
302	25 26 80 
303	25 38 80 
304	25 51 80 
305	26 63 84 
306	27 28 29 
307	27 28 55 
308	27 54 55 
309	30 31 32 
310	33 34 35 
311	33 34 70 
312	34 35 36 
313	34 35 70 
314	34 69 70 
315	35 36 37 
316	35 36 70 
317	35 69 70 
318	38 49 50 
319	38 50 51 
320	38 50 80 
321	38 50 83 
322	38 51 80 
323	39 40 41 
324	39 40 76 
325	39 75 76 
326	40 41 48 
327	40 41 76 
328	40 75 76 
329	42 43 44 
330	42 43 59 
331	42 58 59 
332	45 46 47 
333	49 50 51 
334	49 50 73 
335	49 50 83 
336	49 72 73 
337	49 73 83 
338	49 82 83 
339	50 51 80 
340	50 51 83 
341	50 82 83 
342	52 53 54 
343	53 54 55 
344	57 58 59 
345	60 61 62 
346	61 62 81 
347	62 81 82 
348	64 65 66 
349	67 68 69 
350	68 69 70 
351	71 72 73 
352	74 75 76 
353	77 78 79 
354	81 82 83 
355	0 1 2 6 
356	0 1 2 7 
357	0 1 2 11 
358	0 1 2 12 
359	0 1 2 29 
360	0 1 5 6 
361	0 1 6 7 
362	0 1 6 11 
363	0 1 6 29 
364	0 1 6 57 
365	0 1 6 58 
366	0 1 7 8 
367	0 1 7 11 
368	0 1 7 29 
369	0 1 7 57 
370	0 1 7 58 
371	0 1 11 12 
372	0 1 11 29 
373	0 1 28 29 
374	0 2 6 7 
375	0 3 5 6 
376	0 4 5 6 
377	0 5 6 7 
378	0 5 6 29 
379	0 5 6 57 
380	0 5 6 58 
381	0 6 7 8 
382	0 6 7 29 
383	0 6 7 57 
384	0 6 7 58 
385	0 6 28 29 
386	0 6 29 57 
387	0 6 29 58 
388	0 6 57 58 
389	0 6 58 59 
390	0 27 28 29 
391	1 2 5 6 
392	1 2 6 7 
393	1 2 6 11 
394	1 2 6 12 
395	1 2 6 29 
396	1 2 6 57 
397	1 2 6 58 
398	1 2 7 8 
399	1 2 7 11 
400	1 2 7 12 
401	1 2 7 29 
402	1 2 7 57 
403	1 2 7 58 
404	1 2 11 12 
405	1 2 11 29 
406	1 2 12 13 
407	1 2 12 29 
408	1 2 28 29 
409	1 3 5 6 
410	1 4 5 6 
411	1 5 6 7 
412	1 5 6 11 
413	1 5 6 29 
414	1 5 6 57 
415	1 5 6 58 
416	1 6 7 8 
417	1 6 7 11 
418	1 6 7 29 
419	1 6 7 57 
420	1 6 7 58 
421	1 6 11 12 
422	1 6 11 29 
423	1 6 11 57 
424	1 6 11 58 
425	1 6 28 29 
426	1 6 29 57 
427	1 6 29 58 
428	1 6 57 58 
429	1 6 58 59 
430	1 7 8 9 
431	1 7 8 11 
432	1 7 8 29 
433	1 7 8 57 
434	1 7 8 58 
435	1 7 11 12 
436	1 7 11 29 
437	1 7 11 57 
438	1 7 11 58 
439	1 7 28 29 
440	1 7 29 57 
441	1 7 29 58 
442	1 7 57 58 
443	1 7 58 59 
444	1 11 12 13 
445	1 11 12 29 
446	1 11 28 29 
447	1 27 28 29 
448	2 5 6 7 
449	2 6 7 8 
450	2 6 7 11 
451	2 6 7 12 
452	2 6 7 57 
453	2 6 7 58 
454	2 7 8 9 
455	2 7 8 11 
456	2 7 8 12 
457	2 7 8 57 
458	2 7 8 58 
459	2 7 11 12 
460	2 7 11 57 
461	2 7 11 58 
462	2 7 12 13 
463	2 7 12 57 
464	2 7 12 58 
465	2 7 57 58 
466	2 7 58 59 
467	2 11 12 13 
468	3 4 5 6 
469	3 5 6 7 
470	3 5 6 57 
471	3 5 6 58 
472	4 5 6 7 
473	4 5 6 57 
474	4 5 6 58 
475	5 6 7 8 
476	5 6 7 57 
477	5 6 7 58 
478	5 6 57 58 
479	5 6 58 59 
480	6 7 8 9 
481	6 7 8 57 
482	6 7 8 58 
483	6 7 57 58 
484	6 7 58 59 
485	6 42 58 59 
486	6 57 58 59 
487	7 8 9 43 
488	7 8 9 44 
489	7 8 9 57 
490	7 8 9 58 
491	7 8 57 58 
492	7 8 58 59 
493	7 42 58 59 
494	7 57 58 59 
495	8 9 42 43 
496	8 9 43 44 
497	9 42 43 44 
498	9 42 43 59 
499	10 17 23 24 
500	10 23 24 25 
501	10 23 24 38 
502	10 23 24 56 
503	10 23 24 80 
504	10 23 38 50 
