Model_used	lon	lat
ModelMultiFaultsTest	13.0995933899	43.0665455925
ModelMultiFaultsTest	13.4944299855	42.561754502
ModelMultiFaultsTest	13.8242934703	42.451800007
ModelMultiFaultsTest	13.8992624442	42.2418868803
ModelMultiFaultsTest	14.1791466131	42.0169799588
ModelMultiFaultsTest	14.0342065971	41.6721226792
ModelMultiFaultsTest	13.7093410438	41.6171454317
ModelMultiFaultsTest	12.9746451002	42.1769137696
ModelMultiFaultsTest	12.7647319735	42.5767482968
ModelMultiFaultsTest	13.0995933899	43.0665455925

