Year	Mo	Da	Ho	Lat	Lon	H	Mw	MwUnc	McModel2
1005	0	0	0	43.464	11.882	0	4.86	0.46	0
1005	0	0	0	41.488	13.831	0	5.10	0.46	0
1019	4	1	0	41.131	14.778	0	4.63	0.46	0
1044	4	19	9	41.131	14.778	0	4.63	0.46	0
1065	3	27	0	45.539	10.22	0	5.10	0.46	0
1087	9	10	0	41.129	16.869	0	4.86	0.46	0
1091	1	27	0	41.899	12.477	0	5.10	0.46	0
1094	1	14	0	41.131	14.778	0	4.63	0.46	0
1117	1	3	15	45.267	11.015	0	6.52	0.10	1
1120	3	25	0	41.377	13.917	0	5.80	0.46	0
1125	6	7	11	37.073	15.286	0	5.80	0.46	0
1125	10	11	0	41.131	14.778	0	5.33	0.46	0
1139	1	22	0	41.131	14.778	0	4.40	0.46	0
1148	0	0	0	43.773	11.257	0	5.10	0.46	0
1160	10	15	0	41.925	13.095	0	5.33	0.46	0
1161	1	16	6	41.568	13.334	0	5.10	0.46	0
1168	1	10	0	43.718	10.402	0	4.40	0.46	0
1169	2	4	7	37.215	14.949	0	6.50	0.46	0
1170	5	9	0	41.568	13.334	0	5.56	0.46	0
1172	9	26	13	38.185	15.555	0	5.56	0.46	0
1174	8	17	18	44.494	11.343	0	3.93	0.46	0
1182	8	15	0	44.419	8.898	0	4.63	0.46	0
1183	12	0	0	45.439	10.994	0	4.86	0.46	0
1184	5	24	0	39.395	16.193	0	6.75	0.27	0
1194	0	0	0	44.067	12.078	0	4.86	0.46	0
1196	0	0	0	43.933	10.915	0	4.63	0.46	0
1198	0	0	0	40.822	14.123	0	3.37	0.50	0
1201	5	4	0	46.831	13.671	0	4.86	0.46	0
1217	1	8	0	44.419	8.898	0	4.40	0.46	0
1222	12	25	12	45.533	10.623	0	5.68	0.36	0
1230	4	5	0	38.108	15.647	0	4.40	0.46	0
1231	6	1	11	41.488	13.831	0	5.10	0.46	0
1234	3	20	0	44.835	11.62	0	5.10	0.46	0
1242	10	24	0	45.548	11.546	0	4.40	0.46	0
1246	0	0	0	42.736	12.737	0	5.33	0.46	0
1249	9	0	0	44.647	10.926	0	4.86	0.46	0
1255	11	17	10	38.185	15.555	0	4.86	0.46	0
