LonDef	LatDef	MwDef
12.902	42.575	6.26
13.399	42.351	5.56
13.018	42.857	6.49
13.118	42.27	6.27
13.543	42.308	6.5
12.949	42.386	5.1
13.021	42.724	6.07
13.296	42.526	5.33
13.248	42.694	5.33
13.261	42.639	6.21
13.247	42.615	5.9
13.302	42.569	5.33
13.076	42.415	5.1
13.071	42.708	6.92
13.292	42.434	6.67
14.08	42.076	6.84
13.047	42.876	5.59
13.12	42.753	6.04
13.585	42.308	5.54
13.613	41.718	5.1
12.788	42.536	5.76
13.399	42.351	5.33
13.015	42.832	5.58
12.86	42.402	5.1
13.07	43.005	5.35
13.097	42.825	5.73
13.778	41.686	5.38
13.777	42.333	5.12
13.827	41.655	5.48
13.043	42.766	5.59
13.255	42.671	5.1
12.903	42.414	5.5
12.994	42.895	5.03
13.75	41.719	5.16
13.316	42.097	5.68
14.026	42.019	5.15
13.53	42.014	7.08
13.6	41.983	5.02
13.076	42.415	5.07
13.397	42.292	5.09
13.169	42.646	5.5
13.632	41.793	5.24
13.466	41.841	5.2
14.093	42.079	5.9
13.283	42.758	5.02
13.267	42.795	5.04
12.853	42.507	5.42
13.457	42.547	5.69
13.461	42.466	5.25
13.498	42.317	5.04
13.064	42.407	5.09
12.989	42.734	5.02
12.956	42.73	5.83
13.843	41.651	5.47
13.51	42.309	6.29
13.328	42.36	5.07
13.385	42.463	5.09
13.387	42.336	5.08
13.486	42.303	5.54
13.351	42.489	5.39
13.35	42.504	5.21
13.377	42.498	5.02
