Year,Mo,Da,Ho,Mi,Se,LatDef,LonDef,DepDef,MwDef,ErMwDef,MainShock
1298,11,30,nan,nan,nan,42.402,12.86,nan,4.4,0.46,1
1298,12,1,nan,nan,nan,42.575,12.902,nan,6.26,0.46,1
1315,12,3,nan,nan,nan,42.351,13.399,nan,5.56,0.46,1
1328,12,1,nan,nan,nan,42.857,13.018,nan,6.49,0.28,1
1349,9,9,nan,nan,nan,42.27,13.118,nan,6.27,0.14,1
1398,4,3,nan,nan,nan,42.351,13.399,nan,4.63,0.46,1
1423,11,10,nan,nan,nan,42.351,13.399,nan,4.16,0.46,1
1461,11,27,nan,nan,nan,42.308,13.543,nan,6.5,0.46,1
1462,1,3,20,25,nan,42.351,13.399,nan,4.16,0.46,0
1462,1,4,22,25,nan,42.351,13.399,nan,4.16,0.46,0
1462,3,27,2,nan,nan,42.351,13.399,nan,4.16,0.46,0
1466,12,20,11,nan,nan,42.351,13.399,nan,4.16,0.46,1
1498,4,10,nan,nan,nan,42.351,13.399,nan,4.4,0.46,1
1502,3,10,nan,nan,nan,42.386,12.949,nan,5.1,0.46,1
1519,nan,nan,nan,nan,nan,42.386,12.949,nan,4.63,0.46,1
1557,4,23,21,nan,nan,42.351,13.399,nan,4.16,0.46,1
1567,nan,nan,nan,nan,nan,42.793,13.094,nan,4.86,0.46,1
1579,nan,nan,nan,nan,nan,41.808,13.789,nan,4.4,0.46,1
1599,11,6,1,25,nan,42.724,13.021,nan,6.07,0.24,1
1619,7,7,22,nan,nan,42.526,13.296,nan,5.33,0.46,1
1627,7,nan,nan,nan,nan,42.694,13.248,nan,5.33,0.46,1
1639,10,7,nan,nan,nan,42.639,13.261,nan,6.21,0.15,1
1646,4,28,7,nan,nan,42.615,13.247,nan,5.9,0.39,1
1646,6,19,3,nan,nan,42.351,13.399,nan,4.86,0.46,0
1672,6,8,17,30,nan,42.569,13.302,nan,5.33,0.46,1
1689,7,21,9,nan,nan,42.415,13.076,nan,4.16,0.46,1
1689,7,21,11,nan,nan,42.415,13.076,nan,5.1,0.46,1
1702,10,18,nan,nan,nan,42.755,13.053,nan,4.16,0.46,1
1703,1,14,18,nan,nan,42.708,13.071,nan,6.92,0.1,1
1703,2,2,11,5,nan,42.434,13.292,nan,6.67,0.11,0
1703,6,29,18,nan,nan,42.749,12.948,nan,4.4,0.46,0
1704,5,20,nan,nan,nan,42.793,13.094,nan,4.16,0.46,0
1706,11,3,13,nan,nan,42.076,14.08,nan,6.84,0.1,1
1716,10,4,nan,nan,nan,42.718,13.013,nan,4.86,0.46,1
1719,6,27,6,30,nan,42.876,13.047,nan,5.59,0.26,1
1730,5,12,5,nan,nan,42.753,13.12,nan,6.04,0.1,1
1742,nan,nan,nan,nan,nan,42.084,13.546,nan,4.4,0.46,1
1742,4,nan,nan,nan,nan,42.084,13.546,nan,4.16,0.46,1
1742,5,nan,nan,nan,nan,42.084,13.546,nan,4.16,0.46,0
1743,nan,nan,nan,nan,nan,42.046,13.454,nan,4.4,0.46,1
1750,2,1,nan,nan,nan,42.351,13.399,nan,4.86,0.46,1
1762,10,6,nan,nan,nan,42.308,13.585,nan,5.54,0.42,1
1771,1,nan,nan,nan,nan,41.718,13.613,nan,5.1,0.46,1
1778,1,24,7,45,nan,42.153,13.534,nan,4.86,0.46,1
1785,10,9,3,15,nan,42.536,12.788,nan,5.76,0.18,1
1786,7,31,nan,nan,nan,42.351,13.399,nan,4.89,0.31,1
1791,1,nan,nan,nan,nan,42.351,13.399,nan,5.33,0.46,1
1803,4,7,nan,nan,nan,42.505,13.551,nan,3.93,0.46,1
1809,8,14,11,nan,nan,42.351,13.399,nan,4.63,0.46,1
1815,9,3,23,nan,nan,42.832,13.015,nan,5.58,0.22,1
1821,3,22,nan,nan,nan,42.402,12.86,nan,5.1,0.46,1
1832,11,14,11,nan,nan,42.955,13.108,nan,4.76,0.58,0
1832,11,21,21,nan,nan,42.951,13.12,nan,4.78,0.49,0
1832,12,4,19,nan,nan,43.005,13.07,nan,5.35,0.44,0
1841,6,10,nan,nan,nan,42.082,14.08,nan,4.96,0.48,1
1848,6,9,23,15,nan,42.351,13.399,nan,4.16,0.46,1
1848,12,nan,nan,nan,nan,42.351,13.399,nan,4.63,0.46,1
1850,11,11,9,nan,nan,42.282,13.592,nan,4.63,0.46,1
