asset_id,taxonomy,lon,lat,no_damage,DS1,DS2,DS3,DS4,DS5
28,"pre1919rota",12.80194,42.52722,9.99992E-01,3.00478E-06,1.15207E-06,1.45574E-06,1.52382E-06,9.75375E-07
206,"post1981rota",12.80194,42.52722,9.99998E-01,1.35008E-06,1.86915E-07,2.00919E-07,2.08542E-07,9.20131E-08
33,"pre1919rota",12.83333,42.52778,9.99991E-01,3.29201E-06,1.26618E-06,1.60433E-06,1.68717E-06,1.08859E-06
211,"post1981rota",12.83333,42.52778,9.99998E-01,1.49139E-06,2.07240E-07,2.23137E-07,2.32248E-07,1.02961E-07
6,"pre1919rota",12.84333,42.58611,9.99992E-01,2.91526E-06,1.10578E-06,1.38278E-06,1.41904E-06,8.69903E-07
184,"post1981rota",12.84333,42.58611,9.99998E-01,1.26652E-06,1.72413E-07,1.83793E-07,1.87918E-07,8.05053E-08
41,"pre1919rota",12.85722,42.51583,9.99990E-01,3.59266E-06,1.38446E-06,1.75719E-06,1.85337E-06,1.20264E-06
219,"post1981rota",12.85722,42.51583,9.99997E-01,1.63626E-06,2.27925E-07,2.45691E-07,2.56234E-07,1.14023E-07
40,"pre1919rota",12.86306,42.40500,9.99989E-01,4.20280E-06,1.59139E-06,1.98473E-06,2.02270E-06,1.21513E-06
218,"post1981rota",12.86306,42.40500,9.99997E-01,1.80701E-06,2.44436E-07,2.59650E-07,2.63663E-07,1.11315E-07
38,"pre1919rota",12.88917,42.50306,9.99989E-01,3.98840E-06,1.53611E-06,1.94833E-06,2.05201E-06,1.32821E-06
216,"post1981rota",12.88917,42.50306,9.99997E-01,1.81257E-06,2.52225E-07,2.71756E-07,2.83209E-07,1.25941E-07
19,"pre1919rota",12.90500,42.46861,9.99988E-01,4.40185E-06,1.68641E-06,2.12725E-06,2.21563E-06,1.39699E-06
197,"post1981rota",12.90500,42.46861,9.99997E-01,1.96332E-06,2.70573E-07,2.90094E-07,2.99595E-07,1.30827E-07
42,"pre1919rota",12.92778,42.27722,9.99986E-01,5.37998E-06,2.03073E-06,2.52301E-06,2.54842E-06,1.49072E-06
220,"post1981rota",12.92778,42.27722,9.99997E-01,2.28082E-06,3.05904E-07,3.23404E-07,3.25321E-07,1.34366E-07
4,"pre1919rota",12.93444,42.71194,9.99994E-01,2.36257E-06,8.54889E-07,1.02242E-06,9.64950E-07,4.94570E-07
182,"post1981rota",12.93444,42.71194,9.99999E-01,8.98479E-07,1.13986E-07,1.17351E-07,1.12625E-07,4.24937E-08
22,"pre1919rota",12.94889,42.38778,9.99985E-01,5.61347E-06,2.14457E-06,2.69442E-06,2.77820E-06,1.69921E-06
