asset_id,taxonomy,lon,lat,no_damage,DS1,DS2,DS3,DS4,DS5
28,"pre1919rota",12.80194,42.52722,1.00000E+00,9.74575E-08,3.05367E-08,3.17796E-08,2.27659E-08,6.09842E-09
206,"post1981rota",12.80194,42.52722,1.00000E+00,2.66340E-08,2.71465E-09,2.49664E-09,1.92975E-09,4.49437E-10
33,"pre1919rota",12.83333,42.52778,1.00000E+00,1.05813E-07,3.32243E-08,3.46425E-08,2.49054E-08,6.72104E-09
211,"post1981rota",12.83333,42.52778,1.00000E+00,2.90147E-08,2.96489E-09,2.73019E-09,2.11513E-09,4.94970E-10
6,"pre1919rota",12.84333,42.58611,1.00000E+00,9.75365E-08,3.05621E-08,3.18066E-08,2.27861E-08,6.10427E-09
184,"post1981rota",12.84333,42.58611,1.00000E+00,2.66565E-08,2.71701E-09,2.49884E-09,1.93149E-09,4.49865E-10
41,"pre1919rota",12.85722,42.51583,1.00000E+00,1.15185E-07,3.62510E-08,3.78789E-08,2.73414E-08,7.43983E-09
219,"post1981rota",12.85722,42.51583,1.00000E+00,3.17044E-08,3.24903E-09,2.99602E-09,2.32707E-09,5.47480E-10
40,"pre1919rota",12.86306,42.40500,1.00000E+00,1.39241E-07,4.40539E-08,4.62536E-08,3.36853E-08,9.33226E-09
218,"post1981rota",12.86306,42.40500,1.00000E+00,3.86557E-08,3.98679E-09,3.68772E-09,2.88060E-09,6.85555E-10
38,"pre1919rota",12.88917,42.50306,1.00000E+00,1.28470E-07,4.05566E-08,4.24964E-08,3.08342E-08,8.47841E-09
216,"post1981rota",12.88917,42.50306,1.00000E+00,3.55375E-08,3.65540E-09,3.37681E-09,2.63149E-09,6.23244E-10
19,"pre1919rota",12.90500,42.46861,1.00000E+00,1.42424E-07,4.50892E-08,4.73676E-08,3.45340E-08,9.58975E-09
197,"post1981rota",12.90500,42.46861,1.00000E+00,3.95811E-08,4.08544E-09,3.78044E-09,2.95519E-09,7.04397E-10
42,"pre1919rota",12.92778,42.27722,1.00000E+00,1.95481E-07,6.25017E-08,6.62610E-08,4.91475E-08,1.41515E-08
220,"post1981rota",12.92778,42.27722,1.00000E+00,5.52553E-08,5.77492E-09,5.37668E-09,4.25116E-09,1.03779E-09
4,"pre1919rota",12.93444,42.71194,1.00000E+00,9.24368E-08,2.89237E-08,3.00631E-08,2.14856E-08,5.72722E-09
182,"post1981rota",12.93444,42.71194,1.00000E+00,2.52062E-08,2.56478E-09,2.35687E-09,1.81893E-09,4.22286E-10
22,"pre1919rota",12.94889,42.38778,1.00000E+00,1.83537E-07,5.85594E-08,6.19607E-08,4.57877E-08,1.30799E-08
200,"post1981rota",12.94889,42.38778,1.00000E+00,5.16878E-08,5.38750E-09,5.00928E-09,3.95079E-09,9.59371E-10
2,"pre1919rota",12.95417,42.65361,1.00000E+00,1.11238E-07,3.49738E-08,3.65107E-08,2.63084E-08,7.13364E-09
180,"post1981rota",12.95417,42.65361,1.00000E+00,3.05681E-08,3.12873E-09,2.88336E-09,2.23711E-09,5.25134E-10
29,"pre1919rota",12.96472,42.56500,1.00000E+00,1.39322E-07,4.40802E-08,4.62819E-08,3.37068E-08,9.33879E-09
207,"post1981rota",12.96472,42.56500,1.00000E+00,3.86792E-08,3.98929E-09,3.69007E-09,2.88250E-09,6.86033E-10
20,"pre1919rota",12.96500,42.21583,1.00000E+00,2.30080E-07,7.39635E-08,7.88034E-08,5.90000E-08,1.73229E-08
198,"post1981rota",12.96500,42.21583,1.00000E+00,6.56533E-08,6.90865E-09,6.45379E-09,5.13455E-09,1.26975E-09
30,"pre1919rota",12.96694,42.27389,1.00000E+00,2.21892E-07,7.12422E-08,7.58166E-08,5.66409E-08,1.65562E-08
208,"post1981rota",12.96694,42.27389,1.00000E+00,6.31776E-08,6.63767E-09,6.19588E-09,4.92235E-09,1.21371E-09
26,"pre1919rota",12.98694,42.32417,1.00000E+00,2.24283E-07,7.20348E-08,7.66845E-08,5.73233E-08,1.67762E-08
204,"post1981rota",12.98694,42.32417,1.00000E+00,6.38969E-08,6.71616E-09,6.27047E-09,4.98356E-09,1.22980E-09
15,"pre1919rota",12.99722,42.19722,9.99999E-01,2.58195E-07,8.33397E-08,8.91277E-08,6.72049E-08,2.00241E-08
193,"post1981rota",12.99722,42.19722,1.00000E+00,7.42128E-08,7.84980E-09,7.35159E-09,5.87629E-09,1.46730E-09
35,"pre1919rota",12.99861,42.19167,9.99999E-01,2.60052E-07,8.39603E-08,8.98122E-08,6.77504E-08,2.02046E-08
213,"post1981rota",12.99861,42.19167,1.00000E+00,7.47801E-08,7.91232E-09,7.41129E-09,5.92569E-09,1.48050E-09
1,"pre1919rota",13.01361,42.72056,1.00000E+00,1.08275E-07,3.40173E-08,3.54884E-08,2.55396E-08,6.90705E-09
179,"post1981rota",13.01361,42.72056,1.00000E+00,2.97184E-08,3.03901E-09,2.79945E-09,2.17024E-09,5.08577E-10
43,"pre1919rota",13.02028,42.24056,9.99999E-01,2.71176E-07,8.76806E-08,9.39185E-08,7.10270E-08,2.12910E-08
221,"post1981rota",13.02028,42.24056,1.00000E+00,7.81831E-08,8.28765E-09,7.76982E-09,6.22264E-09,1.55995E-09
21,"pre1919rota",13.02306,42.39472,1.00000E+00,2.27053E-07,7.29562E-08,7.76966E-08,5.81239E-08,1.70371E-08
199,"post1981rota",13.02306,42.39472,1.00000E+00,6.47359E-08,6.80808E-09,6.35801E-09,5.05565E-09,1.24887E-09
5,"pre1919rota",13.03944,42.88028,1.00000E+00,7.36203E-08,2.28962E-08,2.36644E-08,1.67305E-08,4.35623E-09
183,"post1981rota",13.03944,42.88028,1.00000E+00,1.98765E-08,2.00695E-09,1.83723E-09,1.40780E-09,3.21898E-10
25,"pre1919rota",13.03972,42.17722,9.99999E-01,3.00106E-07,9.73789E-08,1.04644E-07,7.96147E-08,2.41541E-08
203,"post1981rota",13.03972,42.17722,1.00000E+00,8.70685E-08,9.27010E-09,8.70940E-09,7.00230E-09,1.76926E-09
31,"pre1919rota",13.04611,42.22750,9.99999E-01,2.98269E-07,9.67623E-08,1.03962E-07,7.90668E-08,2.39707E-08
209,"post1981rota",13.04611,42.22750,1.00000E+00,8.65030E-08,9.20747E-09,8.64946E-09,6.95250E-09,1.75586E-09
24,"pre1919rota",13.04861,42.13833,9.99999E-01,3.12387E-07,1.01516E-07,1.09240E-07,8.33257E-08,2.54130E-08
202,"post1981rota",13.04861,42.13833,1.00000E+00,9.08775E-08,9.69393E-09,9.11598E-09,7.34162E-09,1.86144E-09
32,"pre1919rota",13.05556,42.45222,1.00000E+00,2.25705E-07,7.25079E-08,7.72041E-08,5.77343E-08,1.69101E-08
210,"post1981rota",13.05556,42.45222,1.00000E+00,6.43276E-08,6.76335E-09,6.31541E-09,5.02056E-09,1.23959E-09
18,"pre1919rota",13.05972,42.40750,1.00000E+00,2.48327E-07,8.00450E-08,8.54959E-08,6.43132E-08,1.90687E-08
196,"post1981rota",13.05972,42.40750,1.00000E+00,7.12021E-08,7.51830E-09,7.03514E-09,5.61453E-09,1.39742E-09
37,"pre1919rota",13.06861,42.29611,9.99999E-01,3.01122E-07,9.77200E-08,1.05022E-07,7.99180E-08,2.42556E-08
215,"post1981rota",13.06861,42.29611,1.00000E+00,8.73813E-08,9.30476E-09,8.74257E-09,7.02987E-09,1.77668E-09
34,"pre1919rota",13.07000,42.15833,9.99999E-01,3.34798E-07,1.09099E-07,1.17701E-07,9.02134E-08,2.77882E-08
212,"post1981rota",13.07000,42.15833,1.00000E+00,9.78944E-08,1.04794E-08,9.87166E-09,7.97567E-09,2.03558E-09
14,"pre1919rota",13.07944,42.41806,9.99999E-01,2.58581E-07,8.34688E-08,8.92701E-08,6.73183E-08,2.00616E-08
192,"post1981rota",13.07944,42.41806,1.00000E+00,7.43308E-08,7.86280E-09,7.36400E-09,5.88656E-09,1.47004E-09
8,"pre1919rota",13.08722,43.03667,1.00000E+00,5.05067E-08,1.55892E-08,1.59994E-08,1.11598E-08,2.82258E-09
186,"post1981rota",13.08722,43.03667,1.00000E+00,1.34722E-08,1.34744E-09,1.22772E-09,9.32551E-10,2.09321E-10
81,"pre1919rota",13.08806,42.10083,9.99999E-01,3.57839E-07,1.16920E-07,1.26454E-07,9.73792E-08,3.02915E-08
259,"post1981rota",13.08806,42.10083,1.00000E+00,1.05158E-07,1.12960E-08,1.06591E-08,8.63917E-09,2.21944E-09
10,"pre1919rota",13.08806,42.93222,1.00000E+00,6.91450E-08,2.14784E-08,2.21740E-08,1.56424E-08,4.05338E-09
188,"post1981rota",13.08806,42.93222,1.00000E+00,1.86313E-08,1.87831E-09,1.71815E-09,1.31465E-09,2.99670E-10
3,"pre1919rota",13.09389,42.79583,1.00000E+00,1.04494E-07,3.27994E-08,3.41893E-08,2.45659E-08,6.62150E-09
181,"post1981rota",13.09389,42.79583,1.00000E+00,2.86378E-08,2.92519E-09,2.69310E-09,2.08563E-09,4.87688E-10
39,"pre1919rota",13.09667,42.52611,1.00000E+00,2.16265E-07,6.93774E-08,7.37755E-08,5.50372E-08,1.60399E-08
217,"post1981rota",13.09667,42.52611,1.00000E+00,6.14859E-08,6.45317E-09,6.02058E-09,4.77856E-09,1.17595E-09
27,"pre1919rota",13.12639,42.26611,9.99999E-01,3.77701E-07,1.23682E-07,1.34043E-07,1.03628E-07,3.25030E-08
205,"post1981rota",13.12639,42.26611,1.00000E+00,1.11461E-07,1.20078E-08,1.13470E-08,9.22124E-09,2.38220E-09
16,"pre1919rota",13.13528,42.51389,1.00000E+00,2.47573E-07,7.97933E-08,8.52187E-08,6.40927E-08,1.89960E-08
194,"post1981rota",13.13528,42.51389,1.00000E+00,7.09723E-08,7.49301E-09,7.01101E-09,5.59458E-09,1.39210E-09
9,"pre1919rota",13.13861,42.94583,1.00000E+00,7.23012E-08,2.24777E-08,2.32237E-08,1.64076E-08,4.26550E-09
187,"post1981rota",13.13861,42.94583,1.00000E+00,1.95082E-08,1.96881E-09,1.80187E-09,1.38006E-09,3.15237E-10
36,"pre1919rota",13.14611,42.21056,9.99999E-01,4.25084E-07,1.39876E-07,1.52276E-07,1.18725E-07,3.79020E-08
214,"post1981rota",13.14611,42.21056,1.00000E+00,1.26604E-07,1.37252E-08,1.30102E-08,1.06337E-08,2.78005E-09
7,"pre1919rota",13.15500,42.89583,1.00000E+00,8.68257E-08,2.71225E-08,2.81479E-08,2.00587E-08,5.31443E-09
185,"post1981rota",13.15500,42.89583,1.00000E+00,2.36126E-08,2.39767E-09,2.20107E-09,1.69550E-09,3.92084E-10
23,"pre1919rota",13.16000,42.61917,1.00000E+00,2.00563E-07,6.41811E-08,6.80949E-08,5.05827E-08,1.46105E-08
201,"post1981rota",13.16000,42.61917,1.00000E+00,5.67762E-08,5.94030E-09,5.53360E-09,4.37958E-09,1.07138E-09
141,"pre1919rota",13.20750,42.10306,9.99999E-01,5.47685E-07,1.82242E-07,2.00459E-07,1.59360E-07,5.29644E-08
319,"post1981rota",13.20750,42.10306,1.00000E+00,1.66689E-07,1.83351E-08,1.75042E-08,1.44963E-08,3.89403E-09
69,"pre1919rota",13.23222,42.45972,9.99999E-01,3.72797E-07,1.22011E-07,1.32166E-07,1.02081E-07,3.19543E-08
247,"post1981rota",13.23222,42.45972,1.00000E+00,1.09902E-07,1.18316E-08,1.11767E-08,9.07699E-09,2.34182E-09
17,"pre1919rota",13.23556,42.19444,9.99999E-01,5.91898E-07,1.97695E-07,2.18220E-07,1.74633E-07,5.88336E-08
195,"post1981rota",13.23556,42.19444,1.00000E+00,1.81503E-07,2.00633E-08,1.92005E-08,1.59719E-08,4.32920E-09
111,"pre1919rota",13.24611,42.52444,9.99999E-01,3.26371E-07,1.06245E-07,1.14515E-07,8.76163E-08,2.68908E-08
289,"post1981rota",13.24611,42.52444,1.00000E+00,9.52520E-08,1.01833E-08,9.58672E-09,7.73642E-09,1.96980E-09
12,"pre1919rota",13.24806,42.69583,1.00000E+00,1.95281E-07,6.24358E-08,6.61891E-08,4.90913E-08,1.41335E-08
190,"post1981rota",13.24806,42.69583,1.00000E+00,5.51956E-08,5.76844E-09,5.37053E-09,4.24613E-09,1.03648E-09
151,"pre1919rota",13.25167,42.07028,9.99999E-01,6.38416E-07,2.14035E-07,2.37084E-07,1.90979E-07,6.52073E-08
329,"post1981rota",13.25167,42.07028,1.00000E+00,1.97250E-07,2.19113E-08,2.10195E-08,1.75622E-08,4.80288E-09
147,"pre1919rota",13.25583,42.37417,9.99999E-01,4.89328E-07,1.62007E-07,1.77377E-07,1.39795E-07,4.56446E-08
325,"post1981rota",13.25583,42.37417,1.00000E+00,1.47483E-07,1.61177E-08,1.53386E-08,1.26289E-08,3.35213E-09
79,"pre1919rota",13.28306,42.00667,9.99999E-01,6.83563E-07,2.29969E-07,2.55556E-07,2.07112E-07,7.16147E-08
257,"post1981rota",13.28306,42.00667,1.00000E+00,2.12697E-07,2.37359E-08,2.28214E-08,1.91475E-08,5.28184E-09
64,"pre1919rota",13.28361,42.45028,9.99999E-01,4.44462E-07,1.46535E-07,1.59812E-07,1.25028E-07,4.02032E-08
242,"post1981rota",13.28361,42.45028,1.00000E+00,1.32872E-07,1.44415E-08,1.37064E-08,1.12289E-08,2.95001E-09
13,"pre1919rota",13.28972,42.63028,9.99999E-01,2.64376E-07,8.54058E-08,9.14071E-08,6.90223E-08,2.06259E-08
191,"post1981rota",13.28972,42.63028,1.00000E+00,7.61020E-08,8.05805E-09,7.55047E-09,6.04093E-09,1.51131E-09
125,"pre1919rota",13.29556,42.43806,9.99999E-01,4.75664E-07,1.57287E-07,1.72011E-07,1.35271E-07,4.39684E-08
303,"post1981rota",13.29556,42.43806,1.00000E+00,1.43018E-07,1.56043E-08,1.48382E-08,1.21989E-08,3.22814E-09
11,"pre1919rota",13.29694,42.77333,1.00000E+00,1.66903E-07,5.30805E-08,5.59956E-08,4.11444E-08,1.16128E-08
189,"post1981rota",13.29694,42.77333,1.00000E+00,4.67398E-08,4.85175E-09,4.50200E-09,3.53733E-09,8.52225E-10
153,"pre1919rota",13.30194,42.29056,9.99999E-01,6.71223E-07,2.25606E-07,2.50490E-07,2.02672E-07,6.98351E-08
331,"post1981rota",13.30194,42.29056,1.00000E+00,2.08456E-07,2.32334E-08,2.23244E-08,1.87089E-08,5.14840E-09
77,"pre1919rota",13.30194,42.52222,9.99999E-01,3.81903E-07,1.25115E-07,1.35652E-07,1.04956E-07,3.29746E-08
255,"post1981rota",13.30194,42.52222,1.00000E+00,1.12798E-07,1.21590E-08,1.14932E-08,9.34511E-09,2.41691E-09
84,"pre1919rota",13.33528,41.98917,9.99998E-01,8.16978E-07,2.77490E-07,3.11109E-07,2.56372E-07,9.17884E-08
262,"post1981rota",13.33528,41.98917,1.00000E+00,2.59292E-07,2.93057E-08,2.83534E-08,2.40657E-08,6.79892E-09
107,"pre1919rota",13.33917,42.29194,9.99998E-01,7.63719E-07,2.58438E-07,2.88750E-07,2.36404E-07,8.34952E-08
285,"post1981rota",13.33917,42.29194,1.00000E+00,2.40509E-07,2.70480E-08,2.61051E-08,2.20574E-08,6.17374E-09
148,"pre1919rota",13.34278,42.06639,9.99998E-01,8.98661E-07,3.06892E-07,3.45798E-07,2.87628E-07,1.04974E-07
326,"post1981rota",13.34278,42.06639,1.00000E+00,2.88470E-07,3.28370E-08,3.18813E-08,2.72345E-08,7.79593E-09
108,"pre1919rota",13.36222,42.09444,9.99998E-01,9.80339E-07,3.36542E-07,3.81052E-07,3.19854E-07,1.18970E-07
286,"post1981rota",13.36222,42.09444,1.00000E+00,3.18243E-07,3.64810E-08,3.55417E-08,3.05548E-08,8.86094E-09
72,"pre1919rota",13.36889,42.56139,9.99999E-01,4.00637E-07,1.31510E-07,1.42846E-07,1.10902E-07,3.50923E-08
250,"post1981rota",13.36889,42.56139,1.00000E+00,1.18771E-07,1.28355E-08,1.21479E-08,9.90028E-09,2.57275E-09
76,"pre1919rota",13.38500,41.96611,9.99998E-01,9.64739E-07,3.30858E-07,3.74269E-07,3.13613E-07,1.16223E-07
254,"post1981rota",13.38500,41.96611,1.00000E+00,3.12503E-07,3.57748E-08,3.48306E-08,2.99068E-08,8.65136E-09
109,"pre1919rota",13.39472,42.10889,9.99998E-01,1.11623E-06,3.86391E-07,4.40877E-07,3.75438E-07,1.43823E-07
287,"post1981rota",13.39472,42.10889,1.00000E+00,3.68966E-07,4.27664E-08,4.18915E-08,3.63719E-08,1.07603E-08
104,"pre1919rota",13.39917,42.35250,9.99998E-01,8.23653E-07,2.79884E-07,3.13925E-07,2.58898E-07,9.28454E-08
282,"post1981rota",13.39917,42.35250,1.00000E+00,2.61660E-07,2.95912E-08,2.86382E-08,2.43208E-08,6.87878E-09
73,"pre1919rota",13.41167,41.94111,9.99998E-01,1.03270E-06,3.55679E-07,4.03945E-07,3.41013E-07,1.28351E-07
251,"post1981rota",13.41167,41.94111,1.00000E+00,3.37635E-07,3.88744E-08,3.79553E-08,3.27594E-08,9.57708E-09
91,"pre1919rota",13.42444,41.91444,9.99998E-01,1.03650E-06,3.57071E-07,4.05615E-07,3.42561E-07,1.29041E-07
269,"post1981rota",13.42444,41.91444,1.00000E+00,3.39050E-07,3.90495E-08,3.81321E-08,3.29212E-08,9.62982E-09
62,"pre1919rota",13.42750,42.03528,9.99997E-01,1.21582E-06,4.23306E-07,4.85573E-07,4.17601E-07,1.63242E-07
240,"post1981rota",13.42750,42.03528,9.99999E-01,4.07019E-07,4.75399E-08,4.67421E-08,4.08626E-08,1.22587E-08
112,"pre1919rota",13.45806,41.86528,9.99998E-01,1.05411E-06,3.63528E-07,4.13362E-07,3.49757E-07,1.32256E-07
290,"post1981rota",13.45806,41.86528,1.00000E+00,3.45617E-07,3.98632E-08,3.89540E-08,3.36739E-08,9.87550E-09
106,"pre1919rota",13.47028,41.96083,9.99997E-01,1.32829E-06,4.65394E-07,5.36965E-07,4.66823E-07,1.86647E-07
284,"post1981rota",13.47028,41.96083,9.99999E-01,4.51015E-07,5.31277E-08,5.24544E-08,4.62096E-08,1.40833E-08
89,"pre1919rota",13.47278,41.88667,9.99997E-01,1.16769E-06,4.05428E-07,4.63884E-07,3.97067E-07,1.53702E-07
267,"post1981rota",13.47278,41.88667,9.99999E-01,3.88527E-07,4.52130E-08,4.43737E-08,3.86632E-08,1.15196E-08
114,"pre1919rota",13.47556,42.28667,9.99997E-01,1.25682E-06,4.38599E-07,5.04194E-07,4.35347E-07,1.71599E-07
