#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.9.0', start_date='2020-10-27T09:52:04', checksum=2089612445, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0100000,poe-0.0132162,poe-0.0174668,poe-0.0230845,poe-0.0305090,poe-0.0403213,poe-0.0532894,poe-0.0704284,poe-0.0930796,poe-0.1230160,poe-0.1625805,poe-0.2148697,poe-0.2839763,poe-0.3753090,poe-0.4960161,poe-0.6555452,poe-0.8663821,poe-1.1450285,poe-1.5132935,poe-2.0000000
12.80194,42.52722,0.00000,1.162403E-04,9.196225E-05,7.145257E-05,5.461046E-05,4.108671E-05,3.040306E-05,2.206884E-05,1.563644E-05,1.073803E-05,7.084802E-06,4.451231E-06,2.637174E-06,1.458435E-06,7.455616E-07,3.482758E-07,1.458026E-07,5.240065E-08,1.556382E-08,3.637191E-09,4.776824E-10
12.83333,42.52778,0.00000,1.223769E-04,9.751488E-05,7.628735E-05,5.868457E-05,4.442767E-05,3.307802E-05,2.415710E-05,1.721876E-05,1.189145E-05,7.886295E-06,4.975750E-06,2.959057E-06,1.641533E-06,8.412866E-07,3.934908E-07,1.649492E-07,5.934416E-08,1.773478E-08,4.166596E-09,5.771068E-10
12.84333,42.58611,0.00000,1.167314E-04,9.237863E-05,7.165425E-05,5.456241E-05,4.081431E-05,2.994881E-05,2.147847E-05,1.496996E-05,1.007105E-05,6.488832E-06,3.973733E-06,2.292831E-06,1.235590E-06,6.161942E-07,2.807130E-07,1.143356E-07,4.116527E-08,1.252812E-08,2.621959E-09,3.239808E-10
12.85722,42.51583,0.00000,1.287297E-04,1.033541E-04,8.145555E-05,6.308575E-05,4.803945E-05,3.594244E-05,2.635520E-05,1.885100E-05,1.305987E-05,8.688023E-06,5.496872E-06,3.278066E-06,1.824124E-06,9.373127E-07,4.398320E-07,1.851104E-07,6.687944E-08,2.006285E-08,4.756743E-09,7.460087E-10
12.86306,42.40500,0.00000,1.435270E-04,1.173818E-04,9.429070E-05,7.424651E-05,5.713424E-05,4.279010E-05,3.103674E-05,2.168037E-05,1.450007E-05,9.231313E-06,5.564097E-06,3.156906E-06,1.673679E-06,8.204766E-07,3.689091E-07,1.507951E-07,5.465648E-08,1.655777E-08,4.181790E-09,8.619674E-10
12.88917,42.50306,0.00000,1.369711E-04,1.110532E-04,8.838441E-05,6.906743E-05,5.297963E-05,3.983817E-05,2.928287E-05,2.094577E-05,1.448511E-05,9.609515E-06,6.062309E-06,3.605881E-06,2.005097E-06,1.031072E-06,4.847346E-07,2.048934E-07,7.520768E-08,2.308296E-08,5.553628E-09,9.566722E-10
12.90500,42.46861,0.00000,1.450376E-04,1.187860E-04,9.557415E-05,7.546753E-05,5.836738E-05,4.408431E-05,3.238672E-05,2.302952E-05,1.575656E-05,1.030393E-05,6.394818E-06,3.738161E-06,2.042090E-06,1.033456E-06,4.789091E-07,1.998554E-07,7.258800E-08,2.259240E-08,5.437640E-09,9.731548E-10
12.92778,42.27722,0.00000,1.683428E-04,1.405282E-04,1.152086E-04,9.242530E-05,7.220498E-05,5.462285E-05,3.978021E-05,2.773460E-05,1.841291E-05,1.158207E-05,6.866516E-06,3.815879E-06,1.975158E-06,9.450612E-07,4.131881E-07,1.618390E-07,5.633350E-08,1.669784E-08,3.787799E-09,4.393907E-10
12.93444,42.71194,0.00000,1.138734E-04,9.087761E-05,7.044750E-05,5.282710E-05,3.818138E-05,2.651900E-05,1.765805E-05,1.124380E-05,6.831101E-06,3.947264E-06,2.162690E-06,1.119547E-06,5.426632E-07,2.441845E-07,1.004535E-07,3.747089E-08,1.212404E-08,3.052337E-09,4.715685E-10,5.620304E-11
12.94889,42.38778,0.00000,1.649304E-04,1.379883E-04,1.136222E-04,9.182988E-05,7.254487E-05,5.572092E-05,4.135691E-05,2.946858E-05,2.002939E-05,1.290723E-05,7.842556E-06,4.472060E-06,2.380986E-06,1.173213E-06,5.280718E-07,2.141921E-07,7.845765E-08,2.540948E-08,6.413112E-09,9.428175E-10
12.95417,42.65361,0.00000,1.259818E-04,1.012835E-04,7.923694E-05,6.019238E-05,4.433783E-05,3.163765E-05,2.185245E-05,1.458962E-05,9.392385E-06,5.813184E-06,3.443082E-06,1.937643E-06,1.026689E-06,5.073980E-07,2.311885E-07,9.556446E-08,3.441304E-08,1.042639E-08,2.425704E-09,3.012502E-10
12.96472,42.56500,0.00000,1.419847E-04,1.156252E-04,9.202093E-05,7.151790E-05,5.424722E-05,4.011873E-05,2.887029E-05,2.014686E-05,1.356504E-05,8.754117E-06,5.373640E-06,3.112521E-06,1.683971E-06,8.411478E-07,3.832293E-07,1.563821E-07,5.484641E-08,1.564069E-08,3.217852E-09,3.714093E-10
12.96500,42.21583,0.00000,1.786899E-04,1.500842E-04,1.240456E-04,1.006196E-04,7.972873E-05,6.132625E-05,4.546594E-05,3.226028E-05,2.176801E-05,1.389451E-05,8.348127E-06,4.695722E-06,2.457689E-06,1.185241E-06,5.211807E-07,2.073027E-07,7.396446E-08,2.222217E-08,4.762211E-09,7.221003E-10
12.96694,42.27389,0.00000,1.780347E-04,1.499812E-04,1.243682E-04,1.012333E-04,8.053971E-05,6.228508E-05,4.653317E-05,3.337610E-05,2.284163E-05,1.482941E-05,9.079356E-06,5.210850E-06,2.784621E-06,1.373676E-06,6.197000E-07,2.511502E-07,8.880177E-08,2.721214E-08,6.526946E-09,8.673683E-10
12.98694,42.32417,0.00000,1.796530E-04,1.519319E-04,1.265700E-04,1.036085E-04,8.301738E-05,6.479309E-05,4.897579E-05,3.563645E-05,2.480391E-05,1.640621E-05,1.024483E-05,5.999261E-06,3.271979E-06,1.648322E-06,7.576501E-07,3.118106E-07,1.121128E-07,3.452616E-08,8.151807E-09,1.147146E-09
12.99722,42.19722,0.00000,1.868395E-04,1.578554E-04,1.314107E-04,1.075941E-04,8.629479E-05,6.738587E-05,5.085379E-05,3.680420E-05,2.536066E-05,1.653743E-05,1.015265E-05,5.836519E-06,3.122822E-06,1.543062E-06,6.942261E-07,2.829095E-07,1.042073E-07,3.306435E-08,7.829176E-09,1.473606E-09
12.99861,42.19167,0.00000,1.871383E-04,1.580784E-04,1.315560E-04,1.076681E-04,8.630932E-05,6.735757E-05,5.080153E-05,3.674539E-05,2.530817E-05,1.649759E-05,1.012666E-05,5.822261E-06,3.116644E-06,1.541175E-06,6.950627E-07,2.841614E-07,1.050418E-07,3.360697E-08,8.172348E-09,1.593503E-09
13.01361,42.72056,0.00000,1.223396E-04,9.975894E-05,7.933377E-05,6.118042E-05,4.548599E-05,3.242658E-05,2.206557E-05,1.427436E-05,8.748795E-06,5.063388E-06,2.755479E-06,1.401998E-06,6.628810E-07,2.889323E-07,1.145962E-07,4.069622E-08,1.237670E-08,2.799302E-09,2.748733E-10,6.942367E-12
13.02028,42.24056,0.00000,1.920671E-04,1.633774E-04,1.371242E-04,1.134169E-04,9.214225E-05,7.312710E-05,5.628960E-05,4.169028E-05,2.947499E-05,1.974738E-05,1.245670E-05,7.352071E-06,4.033328E-06,2.039449E-06,9.392129E-07,3.871137E-07,1.408682E-07,4.450013E-08,1.092298E-08,1.536679E-09
13.02306,42.39472,0.00000,1.795026E-04,1.519401E-04,1.266693E-04,1.037464E-04,8.314222E-05,6.484891E-05,4.892246E-05,3.545788E-05,2.452299E-05,1.608085E-05,9.935550E-06,5.749683E-06,3.097560E-06,1.542506E-06,7.010834E-07,2.846696E-07,1.023001E-07,3.247647E-08,8.197701E-09,1.134026E-09
13.03944,42.88028,0.00000,9.519939E-05,7.874502E-05,6.480191E-05,5.283530E-05,4.241088E-05,3.324700E-05,2.523066E-05,1.838151E-05,1.275739E-05,8.377213E-06,5.173846E-06,2.987428E-06,1.601719E-06,7.903988E-07,3.543388E-07,1.418509E-07,5.030584E-08,1.511925E-08,3.243205E-09,4.078457E-10
13.03972,42.17722,0.00000,1.975034E-04,1.680202E-04,1.409231E-04,1.164130E-04,9.442055E-05,7.479419E-05,5.746193E-05,4.248137E-05,2.998785E-05,2.006928E-05,1.265511E-05,7.475832E-06,4.112159E-06,2.089716E-06,9.712554E-07,4.077097E-07,1.520380E-07,4.995136E-08,1.367338E-08,2.687560E-09
13.04611,42.22750,0.00000,1.987038E-04,1.697200E-04,1.431034E-04,1.190249E-04,9.737920E-05,7.795409E-05,6.061457E-05,4.539365E-05,3.245827E-05,2.198279E-05,1.400171E-05,8.332461E-06,4.600962E-06,2.337963E-06,1.079487E-06,4.436257E-07,1.603246E-07,5.008631E-08,1.187934E-08,1.782558E-09
13.04861,42.13833,0.00000,1.986065E-04,1.685544E-04,1.408067E-04,1.156561E-04,9.313510E-05,7.319030E-05,5.580002E-05,4.100272E-05,2.884596E-05,1.930705E-05,1.222308E-05,7.277301E-06,4.051869E-06,2.095546E-06,9.968988E-07,4.331343E-07,1.675949E-07,5.718952E-08,1.694978E-08,3.820343E-09
