#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.9.0', start_date='2020-10-27T09:52:04', checksum=2089612445, kind='rlz-669', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0100000,poe-0.0132162,poe-0.0174668,poe-0.0230845,poe-0.0305090,poe-0.0403213,poe-0.0532894,poe-0.0704284,poe-0.0930796,poe-0.1230160,poe-0.1625805,poe-0.2148697,poe-0.2839763,poe-0.3753090,poe-0.4960161,poe-0.6555452,poe-0.8663821,poe-1.1450285,poe-1.5132935,poe-2.0000000
12.80194,42.52722,0.00000,1.199615E-05,1.148083E-05,1.063364E-05,9.406926E-06,7.842419E-06,6.084962E-06,4.346075E-06,2.830626E-06,1.667315E-06,8.807472E-07,4.123003E-07,1.665657E-07,5.302543E-08,6.818728E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.83333,42.52778,0.00000,1.207874E-05,1.162847E-05,1.086581E-05,9.728057E-06,8.233143E-06,6.503145E-06,4.739782E-06,3.156686E-06,1.904856E-06,1.032978E-06,4.981207E-07,2.091257E-07,7.159230E-08,1.394398E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.84333,42.58611,0.00000,1.204897E-05,1.157474E-05,1.078050E-05,9.608932E-06,8.086825E-06,6.345068E-06,4.589565E-06,3.031125E-06,1.812541E-06,9.732769E-07,4.641592E-07,1.921323E-07,6.411286E-08,1.104830E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.85722,42.51583,0.00000,1.214653E-05,1.175330E-05,1.106796E-05,1.001604E-05,8.593994E-06,6.900872E-06,5.125384E-06,3.485532E-06,2.151545E-06,1.195763E-06,5.926100E-07,2.573717E-07,9.326183E-08,2.250543E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.86306,42.40500,0.00000,1.220875E-05,1.187134E-05,1.126494E-05,1.030515E-05,8.967238E-06,7.324712E-06,5.548733E-06,3.857485E-06,2.439002E-06,1.391175E-06,7.094611E-07,3.188347E-07,1.216996E-07,3.407934E-08,2.048516E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.88917,42.50306,0.00000,1.222373E-05,1.190033E-05,1.131430E-05,1.037904E-05,9.064542E-06,7.437406E-06,5.663529E-06,3.960334E-06,2.520047E-06,1.447346E-06,7.437025E-07,3.371939E-07,1.303577E-07,3.767060E-08,2.733374E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.90500,42.46861,0.00000,1.227370E-05,1.199895E-05,1.148548E-05,1.064038E-05,9.415475E-06,7.851893E-06,6.094125E-06,4.353797E-06,2.836286E-06,1.670913E-06,8.827246E-07,4.132341E-07,1.669414E-07,5.315228E-08,6.853615E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.92778,42.27722,0.00000,1.226434E-05,1.198025E-05,1.145260E-05,1.058956E-05,9.346358E-06,7.769232E-06,6.007178E-06,4.273362E-06,2.770842E-06,1.624082E-06,8.532495E-07,3.969181E-07,1.589977E-07,4.975072E-08,5.572519E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.93444,42.71194,0.00000,1.204831E-05,1.157356E-05,1.077864E-05,9.606339E-06,8.083657E-06,6.341665E-06,4.586350E-06,3.028454E-06,1.810588E-06,9.720216E-07,4.634493E-07,1.917791E-07,6.395831E-08,1.098881E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.94889,42.38778,0.00000,1.235272E-05,1.216237E-05,1.178280E-05,1.111627E-05,1.008559E-05,8.682044E-06,6.998896E-06,5.221349E-06,3.568148E-06,2.214091E-06,1.237403E-06,6.169900E-07,2.699247E-07,9.894603E-08,2.476905E-08,1.535740E-10,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.95417,42.65361,0.00000,1.219889E-05,1.185239E-05,1.123290E-05,1.025750E-05,8.904918E-06,7.253023E-06,5.476204E-06,3.792943E-06,2.388487E-06,1.356401E-06,6.884060E-07,3.076218E-07,1.164474E-07,3.191548E-08,1.637685E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.96472,42.56500,0.00000,1.231328E-05,1.207947E-05,1.162956E-05,1.086713E-05,9.729320E-06,8.233964E-06,6.503223E-06,4.739071E-06,3.155421E-06,1.903425E-06,1.031722E-06,4.972157E-07,2.085763E-07,7.130746E-08,1.381689E-08,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
12.96500,42.21583,0.00000,1.224909E-05,1.195000E-05,1.139984E-05,1.050862E-05,9.237182E-06,7.639703E-06,5.872018E-06,4.149320E-06,2.670719E-06,1.553001E-06,8.088671E-07,3.725442E-07,1.472246E-07,4.474909E-08,4.093629E-09,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
