name	activityscale
Assergi	1
Barete	1
BariscianoMtStabiata	1
Barrea	4
CampoFelice	1
CampoImperatore	1
CampoImperatoreEast	1
Carsoli	2
CerchioPescinaParasano	1
CinqueMigliaAremogna	1
FucinoOvindoliPezza	1
Laga	1
Leonessa	1
Liri	1
LognaManigi	1
Magnola	1
Maiella	1
MiddleAternoValley	1
Montereale	4
MtAlvagnano	1
MtCappucciata	4
MtMarsicano	1
MtPettino	1
MtPizzalto	1
MtVelino	1
MtVettore	1
Norcia	1
NorciaAntithetic	1
Ocre	1
OfenaTirino	4
PaganicaSanDemetrioNeVestini	1
PostaFibreno	4
Rieti	2
SanGiovanni	1
SanSebastiano	1
Scanno	1
Scurcola	2
SellaDiCorno	2
Sulmona	1
Trasacco	1
TreMonti	1
ValleDelSalto	1
Ventrino	2
