lon lat preferred min max
13.5599 42.4188 0.32148 0.24165 0.41567
13.4104 42.4533 0.91254 0.70658 1.1416
13.2693 42.4687 1.0301 0.76479 1.351
13.2783 42.4581 0.79195 0.59248 1.0295
13.2995 42.444 0.72916 0.54682 0.94531
13.4085 42.4243 0.60049 0.45032 0.77849
13.5863 42.3495 0.52269 0.39636 0.66911
13.5851 42.3464 0.5629 0.42685 0.72059
13.5853 42.3462 0.52269 0.39636 0.66911
13.6899 42.2629 0.41202 0.3111 0.53001
13.6894 42.2616 0.46971 0.35466 0.60421
13.6942 42.2587 0.60461 0.4452 0.80086
13.4301 42.2389 1.1812 1.0746 1.3124
13.4306 42.2386 1.0754 0.96986 1.204
13.4311 42.2381 1.1679 1.0645 1.2973
13.4313 42.2378 1.2233 1.1264 1.3455
13.4316 42.2376 1.1693 1.0912 1.2685
13.4342 42.2366 1.0498 0.93564 1.1872
13.4347 42.2362 1.0727 0.96693 1.2021
13.4355 42.2352 1.0543 0.9127 1.2271
13.4357 42.2348 1.0352 0.9584 1.1296
13.4375 42.2338 1.0946 0.96256 1.2558
13.439 42.2331 0.92892 0.83386 1.0446
13.4405 42.2306 0.9081 0.80575 1.0309
13.4408 42.2304 0.81993 0.74976 0.90631
13.4412 42.23 0.7746 0.69142 0.87539
13.4414 42.2298 0.76719 0.70854 0.83917
13.4424 42.2292 0.81004 0.70931 0.93104
13.4429 42.2292 0.79685 0.73265 0.87628
13.444 42.2282 0.88324 0.79332 0.99359
13.4461 42.2275 0.91814 0.83908 1.0182
13.4487 42.227 0.98846 0.90975 1.0883
13.45 42.2269 0.96019 0.8397 1.1075
13.4566 42.2225 0.94351 0.83589 1.0823
13.4592 42.2207 0.7549 0.56612 0.97868
13.4592 42.2205 0.87562 0.79729 0.97263
13.4602 42.2194 0.68478 0.63465 0.74819
13.4653 42.2145 0.56195 0.5024 0.63236
13.6194 42.4434 0.51679 0.39106 0.66315
13.1118 42.1322 0.49003 0.38451 0.60445
13.1124 42.1339 0.42305 0.3298 0.52543
13.1433 42.1023 0.53357 0.40866 0.67548
13.1688 42.0947 0.30489 0.23352 0.38599
13.6659 42.0134 0.47865 0.35809 0.62225
13.6782 42.0067 0.24721 0.18666 0.318
